Data,Fase,Categoria,Tema,Visualizacoes,Curtidas,Comentarios,Compartilhamentos,Engajamento
2024-07-26,campanha,evento,Convite convenção partidária Progressistas,16100,207,22,0,229
2024-07-26,campanha,data-comemorativa,Dia Mundial da Agricultura Familiar,7000,194,35,0,229
2024-07-29,campanha,evento,49ª Festa da Banana e do Leite,5100,418,12,1,431
2024-08-01,campanha,proposta,Política bem feita atende a população,22300,313,37,0,350
2024-08-02,campanha,evento,Convite convenção partidária,7000,118,22,0,140
2024-08-03,campanha,coligacao,Anúncio do vice-prefeito Cleber Bianchi,11300,536,152,2,690
2024-08-04,campanha,evento,Homenagem a Darcy Bonella (falecimento),5900,191,20,1,212
2024-08-06,campanha,evento,"Convenção: ""é ouro para Alfredo Chaves""",6800,269,69,0,338
2024-08-07,campanha,resposta-ataque,Escolha partidária é clara e transparente,6200,175,17,0,192
2024-08-08,campanha,proposta,Compromisso de renovação de 100% do secretariado,10400,330,48,2,380
2024-08-09,campanha,resposta-ataque,Não disfarce as deficiências (crítica a adversário),4900,62,29,0,91
2024-08-10,campanha,proposta,Reintegrar a saúde à Grande Vitória e o turismo,4400,92,4,4,100
2024-08-11,campanha,proposta,Crianças com TEA merecem olhar atento do poder público,18900,144,20,0,164
2024-08-11,campanha,data-comemorativa,Feliz dia dos pais,4900,373,16,0,389
2024-08-13,campanha,proposta,Nossos entes queridos merecem mais dignidade (proposta cemitério),9800,324,99,1,424
2024-08-15,campanha,resposta-ataque,Chega de promessas vazias (sinalização de trânsito),16200,354,100,6,460
2024-08-16,campanha,evento,"Reunião comunitária, renovação política",14900,310,130,0,440
2024-08-17,campanha,proposta,Uma nova esperança para Alfredo Chaves (chapa),9800,361,60,3,424
2024-08-18,campanha,evento,Festa de São Roque em Iritimirim,6300,210,6,0,216
2024-08-18,campanha,evento,Festa em São Roque de Maravilha e Assunta,7300,250,4,0,254
2024-08-20,campanha,proposta,"Verão chegando, bem-estar de crianças",9200,291,85,0,376
2024-08-20,campanha,coligacao,Chapa de vereadores do PSDB,15900,234,53,0,287
2024-08-24,campanha,proposta,Chamado da mudança,11400,137,25,1,163
2024-08-24,campanha,evento,Mudança tá próxima (inauguração de comitê),11400,288,82,0,370
2024-08-25,campanha,evento,"Rally de rua, ""Alfredo Chaves é 11""",14600,302,81,0,383
2024-08-25,campanha,evento,Visita à companhia de Lurdes Galina e Edmilson Bottechia,4900,149,5,0,154
2024-08-25,campanha,coligacao,Apoio do deputado Evair de Melo,8500,283,16,0,299
2024-08-25,campanha,evento,A mulherada vem aí (mobilização feminina),6100,184,18,0,202
2024-08-25,campanha,evento,Encontro de mulheres com a deputada Raquel Lessa,8900,291,31,0,322
2024-08-25,campanha,evento,Festa da comunidade de Carolina (distrito de Matilde),10100,359,13,0,372
2024-08-25,campanha,evento,Caravana de carros pelo interior,7900,231,21,0,252
2024-08-26,campanha,coligacao,Uma nova esperança com Hugo Luiz e Cleber Bianchi (loja/comércio),9600,192,27,0,219
2024-08-27,campanha,coligacao,Juventude experiente: credenciais de Cleber Bianchi,11700,273,38,0,311
2024-08-29,campanha,coligacao,Apoio da bancada federal e estadual (2º post),9900,262,29,0,291
